Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PCB\golden_arduino_board\Project Outputs for golden_arduino\Pick Place for golden_arduino.csv

========================================================================================================================
File Design Information:

Date:       03/03/22
Time:       02:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R10","1M","TopLayer","1206_Passive_Resitor","1040.000","130.000","180","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"C15","1uF","TopLayer","0402_Passive_Capacitor","3185.315","1055.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"C14","1uF","TopLayer","0402_Passive_Capacitor","3190.000","1805.000","0","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"
"R6","1k","TopLayer","0805_Passive_Resistor","1110.000","815.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/8W 0805 ROHS"
"R5","1k","TopLayer","0805_Passive_Resistor","1112.598","935.000","0","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/8W 0805 ROHS"
"D1","SRV05-4-P-T7","TopLayer","TVS","795.738","280.000","0","TVS SOT-23-6 ROHS"
"C7","22pF","TopLayer","0402_Passive_Capacitor","980.000","475.000","180","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 22PF 50V 0402 ROHS"
"TP4","RST","TopLayer","TP10x_Probe","1135.000","1320.000","90","Test Point 300 mil centers"
"TP3","OSC16","TopLayer","TP10x_Probe","2850.000","1825.000","90","Test Point 300 mil centers"
"J6","PPTC081LFBN-RC","TopLayer","8_PIN_ARDUINO_100MIL","2750.000","2575.000","180","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","PPTC081LFBN-RC","TopLayer","8_PIN_ARDUINO_100MIL","2750.000","2275.000","180","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","2578.035","1579.994","270","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","981.535","353.310","270","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","2232.929","1361.000","0","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U1","CH340G","TopLayer","USB_to_serial","1245.000","480.000","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"TP2","TP_3v3","TopLayer","TP10x_Probe","395.000","1660.000","180","Test Point 300 mil centers"
"TP1","TP_5V","TopLayer","TP10x_Probe","380.000","685.000","180","Test Point 300 mil centers"
"SW_1","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","660.000","1195.000","270","2Pin Header"
"SW4","TL3305AF160QG","TopLayer","Switch_JLC","990.000","2400.000","90","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW3","TL3305AF160QG","TopLayer","Switch_JLC","3185.000","805.000","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
